Sample	custom_content_biotype_counts-percent_rRNA	custom_content_dupradar-dupRadar_intercept	picard_mark_duplicates-PERCENT_DUPLICATION	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	rsem-alignable_percent	rseqc_bam_stat-proper_pairs_percent	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
14340-YK-4_1																							67.91806409133753	49.0	151.0	151	18.181818181818183	86.28846	3.770180625919738	67.85808665508065	49.0	145.77100853192766	151	18.181818181818183	85.91844999999999
14340-YK-4_2																							71.20368290179161	50.0	151.0	151	18.181818181818183	86.28846	3.7623606749879595	71.22711779874314	50.0	145.59466448708048	151	9.090909090909092	85.91844999999999
14340-YK-5	2.61250156892442e-05	0.116492100251446	31.6888	1.15	85.680904	137.978248	12.724727999999999	1.670007	8.21697	98.72123564639314	51.44550605308428	0.3497941	40.781780999999995	171.404822	98.85869064505765	98.83388207975715	2.7478303521393994	173.383666	1823.6	214.165447	212.186603	99.08													
14340-YK-5_1																							67.97414324385261	49.0	151.0	151	18.181818181818183	87.097628	3.7810218258794728	67.91669533054073	49.0	145.81562438528667	151	18.181818181818183	86.691833
14340-YK-5_2																							71.70646669741278	50.0	151.0	151	18.181818181818183	87.097628	3.733339358552986	71.71592433656531	50.0	145.63312144986023	151	9.090909090909092	86.691833
14340-YK-6	8.698924344790692e-06	0.128749570739495	30.311500000000002	1.11	72.283028	116.69344199999999	11.344896	1.576868	7.04477	98.58804781275722	54.117743319842894	0.3539447	28.882095999999997	144.60624199999998	98.74102704043554	98.71358695999525	2.1460190019245338	146.450008	1825.5	175.332104	173.488338	98.95													
14340-YK-6_1																							65.81598349947939	49.0	151.0	151	18.181818181818183	73.636606	4.56925634431159	65.73398489567799	49.0	144.7249730570175	151	18.181818181818183	73.225004
14340-YK-6_2																							69.99658314406065	50.0	151.0	151	18.181818181818183	73.636606	4.476583137763327	69.97079405474288	50.0	144.5333356758847	151	9.090909090909092	73.225004
14340-YK-7	1.602024502045336e-05	0.117289772714768	31.013	1.13	82.657617	132.71253099999998	12.910836999999999	1.7203149999999998	7.962515	98.69338294759278	52.14556263576405	0.3422415	38.618669	165.357707	98.84139080564107	98.81600287260879	2.696360715444183	167.29601399999999	1837.1	205.914683	203.976376	99.06													
14340-YK-7_1																							67.11502989059854	49.0	151.0	151	18.181818181818183	84.053603	3.6431724825637017	67.02547061948414	49.0	146.04541045431006	151	18.181818181818183	83.64800699999999
14340-YK-7_2																							71.24847918262836	50.0	151.0	151	18.181818181818183	84.053603	3.5881013968089603	71.24195669230232	50.0	145.86554854797677	151	9.090909090909092	83.64800699999999
14340-YK-8	1.5909976443916164e-05	0.0973641763555328	29.290300000000002	1.13	76.077579	122.40533099999999	11.36726	1.573515	7.021465999999999	98.71562360533692	52.81157221645556	0.32478110000000004	37.935514999999995	152.195255	98.86133460077255	98.8352888286262	2.971629225179039	153.94821	1801.6	191.883725	190.13076999999998	99.09													
14340-YK-8_1																							66.80302667837907	49.0	151.0	151	18.181818181818183	77.30596299999999	3.422458887582195	66.72284873852547	49.0	146.3189434680663	151	18.181818181818183	76.974105
14340-YK-8_2																							70.38500047818133	50.0	151.0	151	18.181818181818183	77.30596299999999	3.3872523901813354	70.39556146290157	50.0	146.14895613271503	151	9.090909090909092	76.974105
14340-YK-9	4.402133549785262e-06	0.102678571061476	30.5627	1.12	78.803506	126.563845	11.751358	1.765062	7.235288	98.69930074304371	51.576719109198876	0.33924519999999997	40.393571	157.643088	98.85598202175763	98.83335921949802	3.080751464324149	159.467424	1810.7	199.860995	198.036659	99.09													
14340-YK-9_1																							67.97437368068496	49.0	151.0	151	18.181818181818183	79.96713299999999	3.3318565006016883	67.94638084137569	49.0	146.23434808854753	151	18.181818181818183	79.733712
14340-YK-9_2																							70.62328810598122	50.0	151.0	151	18.181818181818183	79.96713299999999	3.4539367633675364	70.67093608174376	50.0	146.06166618707027	151	9.090909090909092	79.733712
