index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
P46,E265_p-Tolylacetic acid,CC1=CC=C(C=C1)CC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCc4ccc(C)cc4)c(C(C)C)cc3CCC12,7.9,17.9,69.3,15.5,0
Q1,"E28_4-IODOBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)I,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(I)cc3)CCC[C@]21C,55.53,0,0,97.3,7.98
Q2,"E75_4-FLUORO-1-NAPHTHOIC ACID, 97%",C1=CC=C2C(=C1)C(=CC=C2F)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(F)c4ccccc34)CCC[C@]21C,32.81,18.9,36.5,87.4,-2.19
Q3,"E121_3,5-DI-TERT-BUTYL-4-HYDROXYBENZOIC ACID, 97%",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CCC[C@]21C,34.47,34.5,50,92.2,-1.01
Q4,"E160_2,6-difluorobenzoic acid",C1=CC(=C(C(=C1)F)C(=O)O)F,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3c(F)cccc3F)CCC[C@]21C,20.3,6.7,24.9,15.6,0
Q5,"E202_(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCCC=CCC=CCCCCCCCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CCCCCC=CCC=CCCCCCCCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,4.61,0,0,4.9,0
Q6,E248_3-(3-Pyridyl)propionic acid,C1=CC(=CN=C1)CCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCCc3cccnc3)CCC[C@]21C,16.07,12.2,43.2,70.9,-10.88
Q7,E302_3-(2-Naphthyl)propanoic Acid,C1=CC=C2C=C(C=CC2=C1)CCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCCc3ccc4ccccc4c3)CCC[C@]21C,4,32.1,88.9,44.2,0
Q8,"E44_4-PYRAZOLECARBOXYLIC ACID, 97+%",C1=C(C=NN1)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3cn[nH]c3)CCC[C@]21C,19.15,19.2,50,22.1,0
Q9,E174_2-(4-fluorophenyl)acetic acid,C1=CC(=CC=C1CC(=O)O)F,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCc3ccc(F)cc3)CCC[C@]21C,1.55,27.9,94.7,9.5,0
