"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000092148",13920.2553933518,0.129427304915729,0.047237270702112,7.67766607174413e-05,0.0026285141673924
"ENSG00000092199",58499.6045064678,-0.0475049331428722,0.0274594219375721,0.0473274090189029,0.194605409347247
"ENSG00000092200",18.3852322996808,-0.00373468315782994,0.0665100868755991,0.722697462998045,NA
"ENSG00000092201",17388.3586610387,0.0429066601529323,0.029205951766318,0.085988298301306,0.277120793491259
"ENSG00000092203",5920.63443004979,-0.00331873536996807,0.0302791309366718,0.896727385998694,0.954738765471048
"ENSG00000092208",1571.36527943114,-0.00464071956388264,0.0411278039621914,0.8725040779896,0.94508087785246
"ENSG00000092295",65.7903150613956,6.03863573682007e-05,0.0616961233593027,0.99705556214502,NA
"ENSG00000092330",3209.95750890745,-0.0177923707111888,0.0321175773280006,0.501603809590948,0.726605580436996
"ENSG00000092377",124.128397905488,-0.00319597273735878,0.0588551037826147,0.871462227235625,NA
"ENSG00000092421",1379.14062458573,0.060326063224152,0.0521886515461644,0.0454215825605632,0.189541677853038
"ENSG00000092439",4646.88733308568,0.108328797095023,0.0472288377930605,0.00077368697697832,0.0131611408099421
"ENSG00000092445",2139.03904871283,0.0120252519262886,0.0355416695183027,0.665606202623026,0.834935814943184
"ENSG00000092470",77.5356991477144,-0.00827861910235366,0.0612051741672029,0.640262143344676,NA
"ENSG00000092529",14.3280000304833,0.00336852095163589,0.0676330818950305,0.706882006400472,NA
"ENSG00000092531",2871.00540323806,0.0212754031351464,0.035814939080566,0.446344030594777,0.68258849010891
"ENSG00000092607",81.6679431912864,-0.0384809907550283,0.0749167796958723,0.0574950236759928,NA
"ENSG00000092621",43128.475436483,-0.0900041169579549,0.0244425354136808,3.90619071064549e-05,0.00149741895305625
"ENSG00000092758",118.607654184388,0.0167759403649109,0.0612651790341905,0.389410545929813,NA
"ENSG00000092820",7526.83332939244,-0.00492363038559407,0.0279395575136936,0.839162635440115,0.92882915941811
"ENSG00000092841",29661.3160353601,-0.1233691403894,0.0330473856460113,5.17843543326563e-06,0.00029363347167689
"ENSG00000092847",6966.69505308509,0.0235911549933957,0.0382927767972557,0.409812158046094,0.653813740423187
"ENSG00000092853",6861.51909074535,-0.0373342934180303,0.0384183625618528,0.194355169804979,0.435738207097777
"ENSG00000092871",2460.35577813939,0.0045641886613858,0.0345540276884891,0.868056507148501,0.943676563629078
"ENSG00000092929",25.6266766293358,0.0162816264156379,0.072782284478029,0.136005362030407,NA
"ENSG00000092931",2488.31629142535,-0.005704653276018,0.0357961919191188,0.837967209183222,0.928072126793259
"ENSG00000092964",1873.61508831802,0.0646316269468837,0.0403634828313191,0.0290114854181264,0.143894324258379
"ENSG00000092969",7.27917775895428,0.00287472775993133,0.0696612924991497,0.652313195560167,NA
"ENSG00000092978",2411.18830329232,0.0305537708762996,0.0376935132235843,0.284190089549408,0.531702612978933
"ENSG00000093000",7450.71336537527,0.020397885641024,0.03099960154701,0.4316995021544,0.670028914517723
"ENSG00000093009",2771.89794820493,-0.0478125994735964,0.034029182397176,0.080743961491728,0.266704948046251
"ENSG00000093010",13735.1576126462,-0.0206636052472981,0.0284010597242244,0.399573890940374,0.64552024791035
"ENSG00000093072",167.950626091626,0.00191787330698883,0.05703962721776,0.929358952555253,NA
"ENSG00000093100",1130.66824416271,-0.000550936053694315,0.0420175694972906,0.984813445581888,0.994317201278442
"ENSG00000093167",5232.40099990359,-0.0697880427877208,0.0292615147365317,0.00526363259294916,0.0499609137222646
"ENSG00000093183",6755.24695992191,0.0022592222245244,0.0304324549345839,0.929809403732247,0.968278813563569
"ENSG00000093217",1688.47612059446,0.095229564624754,0.044130599200294,0.00222824131209081,0.0283729393739563
"ENSG00000094631",2039.30584301317,0.00916277519218667,0.0362722129651941,0.74388999671321,0.880756892584619
"ENSG00000094804",8046.39919957291,-0.00654511219348768,0.0266562631615968,0.780324741782033,0.899078787573393
"ENSG00000094841",1681.25806748705,0.0358786681125105,0.038817501378083,0.213544082105311,0.45683914754972
"ENSG00000094880",5499.95652955526,-0.0788467167797275,0.0289714272393705,0.00149718282145195,0.0213348552056902
"ENSG00000094914",3937.46789403475,-0.0635797865396357,0.0358363846992006,0.024036010968811,0.128716208272231
"ENSG00000094916",19771.078807841,0.0102301421374156,0.0341494399684612,0.708144362233245,0.859675253304342
"ENSG00000094975",8622.04666630782,0.0855989683908721,0.0286489124875749,0.000510528957662588,0.00989885547339159
"ENSG00000095002",1575.09727028768,-0.0478483849169292,0.0404905168612904,0.102968298665455,0.306417906763036
"ENSG00000095015",892.310632800868,0.0349417418208881,0.0495867848995797,0.22193482492382,0.465423823982597
"ENSG00000095059",4029.70184325201,-0.0666920364500785,0.0328707624902382,0.0132117114602111,0.0897939809626498
"ENSG00000095066",2753.09906209811,0.0348256318880265,0.0376016456216038,0.222343683806752,0.465958746025814
"ENSG00000095139",16094.3552619237,0.0524494034296192,0.0299617151878574,0.0390138629838871,0.173435657944295
"ENSG00000095203",7814.80240340808,-0.00185472983661155,0.027972520019087,0.939105159020004,0.971590508998387
"ENSG00000095209",2405.41891949505,0.000928382818948527,0.0386459416871138,0.974110145213118,0.989513056216574
"ENSG00000095261",2916.54863434873,0.00339451270935635,0.0318406231813728,0.89746533997357,0.954916453898774
"ENSG00000095303",8.07985783046912,-0.00283576478466445,0.0687331705062022,0.702294261322003,NA
"ENSG00000095319",11272.5530609476,0.0295623361383538,0.029441802291955,0.239305425116294,0.484620194055263
"ENSG00000095321",1697.11377000154,0.026303876395155,0.0379449445995945,0.357069232327805,0.605893505665962
"ENSG00000095380",6669.09117802998,-0.0093983705892091,0.0370447782200229,0.739469932599657,0.878312148834002
"ENSG00000095383",361.99563456314,-0.0120931158039178,0.0520550418341796,0.64371602031193,NA
"ENSG00000095397",498.346910691009,-0.00210941023340999,0.0490491484343964,0.938903497773896,0.971590508998387
"ENSG00000095485",1294.67180871674,-0.0441499670120243,0.0423102289250936,0.134924383970894,0.353446046268317
"ENSG00000095539",16.9084833604719,0.00645661229761395,0.0678878853299246,0.503977070793748,NA
"ENSG00000095564",4552.45089232306,0.0707181390489094,0.042736892422953,0.019367310217923,0.112454350049348
