"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185716",617.355933367948,-0.0434774462487105,0.05600284423321,0.260690224229806,0.498316823699464
"ENSG00000185721",5833.21582893129,-0.0312716010401839,0.0314571531970373,0.260403028160355,0.497927449819739
"ENSG00000185722",5905.43569356504,0.013358576889826,0.0361511574051813,0.663116582747264,0.837848776705668
"ENSG00000185728",6198.01520019243,0.060879987318843,0.0411288199220983,0.0675870830041791,0.206385490237882
"ENSG00000185730",962.841026132966,-0.00858997415185844,0.0473336266627597,0.809199325154533,0.917920473807118
"ENSG00000185745",36.7312103638828,0.0285626032979217,0.108525044107404,0.426860112313086,0.665088166670671
"ENSG00000185753",695.392743617292,-0.0171244965001306,0.0534267785915029,0.646506176793985,0.827811063111762
"ENSG00000185760",176.011068993941,0.102570876847411,0.106011181820333,0.049563982240636,0.166559640083802
"ENSG00000185761",11.2067287819543,0.0181603693639171,0.126528931177041,0.504217209557101,NA
"ENSG00000185787",17277.3620489446,0.05033210930412,0.0275510438077845,0.0441964589216808,0.153103483032656
"ENSG00000185798",959.34899503855,-0.0607388665022632,0.0553975372005888,0.119731725883722,0.30398511740083
"ENSG00000185800",827.850013178032,0.00225749984699878,0.0516486485327215,0.951061885207294,0.982508133015125
"ENSG00000185803",5710.15052772038,-0.040498556994984,0.0323163944805597,0.152822117543936,0.356516686305416
"ENSG00000185808",2600.05769160188,-0.00218818653274722,0.0389280600116501,0.945704896092679,0.979624337938244
"ENSG00000185813",5521.10838449519,0.190682958306487,0.0341725530670817,7.96799834415376e-10,2.3079211470035e-08
"ENSG00000185818",3017.84451116365,0.265961214783919,0.0403467114034212,3.82673053400364e-12,1.42096842340846e-10
"ENSG00000185825",19657.4803002512,-0.0439121142880824,0.0307791539690087,0.107795234582279,0.282939920586986
"ENSG00000185829",1061.90656282534,0.000201190738624228,0.0563543580703374,0.995750798048397,0.998426862389198
"ENSG00000185834",609.261247045903,-0.00785703024730151,0.0674780620664059,0.840976975847114,0.933955294934392
"ENSG00000185837",30.1119776485536,-0.0320186728174773,0.115292138420252,0.360388180446076,0.603041382367324
"ENSG00000185838",1046.82807103326,0.0130589871488104,0.0452651151507276,0.708095257834042,0.864117124004513
"ENSG00000185839",30.0536792413964,0.0267219239975412,0.110710772284496,0.443340923610972,0.679340542865422
"ENSG00000185842",1395.01077922809,-0.049704486763083,0.0470032273945734,0.165713154739295,0.375412047819106
"ENSG00000185863",45.3833827761147,-0.0571374901507589,0.121644078413519,0.165550225654051,0.375220346297176
"ENSG00000185864",232.526579290124,0.128344930607371,0.124720750835543,0.0256725297262256,0.103045220494353
"ENSG00000185869",1319.39627151104,-0.0312282304163075,0.0445330161468759,0.368226193555925,0.610681695683192
"ENSG00000185875",2947.98532196362,0.0056598130181992,0.0385491507322419,0.859359071329777,0.94363223080546
"ENSG00000185880",1857.95746135833,-0.0195802387380403,0.0419248130984733,0.559531881612484,0.76689098092081
"ENSG00000185883",8828.68754115363,0.0523037639923775,0.0404426662625207,0.112430574929178,0.290867939432099
"ENSG00000185885",49.712426623674,0.0263362885577074,0.103008635364023,0.47592904474059,0.704630397872737
"ENSG00000185896",7645.26884666074,0.166587555415155,0.0308775674950846,2.0349831770457e-09,5.54577154509673e-08
"ENSG00000185900",11284.7757823514,-0.064809545277467,0.0697405577660273,0.131279636499867,0.322538711814506
"ENSG00000185904",1939.41014374803,0.0667985390225415,0.0451996084056426,0.0582044124531499,0.185530257546052
"ENSG00000185909",1262.52659386018,0.0136659629854835,0.0443952604444784,0.692470742544625,0.855690918356145
"ENSG00000185917",662.255995707165,0.00679428153567998,0.0548396769919465,0.856294726459591,0.941689828312288
"ENSG00000185920",2931.92813849583,0.165008092170162,0.0418559085146306,2.87320321901836e-06,4.4978116325692e-05
"ENSG00000185924",1163.1484452138,0.345893825279279,0.0598825252149744,2.19197644562252e-10,6.66956716561261e-09
"ENSG00000185946",301.031645170796,0.00196401278005222,0.0708157237537316,0.960062575259141,0.98598640413624
"ENSG00000185947",579.214401926846,-0.036230542780637,0.05883387888364,0.353668945249078,0.596227665354598
"ENSG00000185950",853.351049941137,-0.0870031240216787,0.0646754427614547,0.0430058314092344,0.149889096570886
"ENSG00000185955",13.0028286754732,0.000268401421143269,0.119504825519391,0.992057993458816,NA
"ENSG00000185963",5414.21757693538,-0.0479364855114213,0.0345075871714383,0.106265962480727,0.280334618194106
"ENSG00000185974",663.565631423134,0.18578143677591,0.084246063226324,0.00110580686038057,0.00839534568903272
