gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000008282,SYPL1,0.010857057,0.832818944,NS
ENSG00000008283,CYB561,-0.003816771,0.9406231,NS
ENSG00000008294,SPAG9,0.070022822,0.10462475,NS
ENSG00000008300,CELSR3,0.038632571,NA,NS
ENSG00000008311,AASS,-0.011313899,0.853316183,NS
ENSG00000008323,PLEKHG6,-0.009343312,NA,NS
ENSG00000008324,SS18L2,0.005028394,0.940512641,NS
ENSG00000008382,MPND,-0.095266793,0.032564447,NS
ENSG00000008394,MGST1,0.023172502,0.595977835,NS
ENSG00000008405,CRY1,0.020107454,0.696935219,NS
ENSG00000008441,NFIX,-0.032568744,0.394599717,NS
ENSG00000008513,ST3GAL1,0.093153018,0.004952666,NS
ENSG00000008710,PKD1,-0.013085632,0.826804966,NS
ENSG00000008735,MAPK8IP2,0.050692592,0.281420914,NS
ENSG00000008838,MED24,-0.032033291,0.446572674,NS
ENSG00000008853,RHOBTB2,-0.04712252,0.272746823,NS
ENSG00000008869,HEATR5B,0.058842499,0.181033619,NS
ENSG00000008952,SEC62,-0.039004198,0.350175335,NS
ENSG00000008988,RPS20,-0.066589099,0.117104694,NS
ENSG00000009307,CSDE1,0.028369112,0.417946931,NS
ENSG00000009335,UBE3C,0.089057636,0.007822872,NS
ENSG00000009413,REV3L,0.042566371,0.362543059,NS
ENSG00000009694,TENM1,0.011553217,0.825765627,NS
ENSG00000009765,IYD,0.026952495,NA,NS
ENSG00000009780,FAM76A,0.022116499,0.683147733,NS
ENSG00000009830,POMT2,0.013121861,0.825765627,NS
ENSG00000009844,VTA1,0.030699192,0.458606985,NS
ENSG00000009950,MLXIPL,-0.008921175,NA,NS
ENSG00000009954,BAZ1B,0.013003104,0.787540782,NS
ENSG00000010017,RANBP9,0.052803281,0.191946894,NS
ENSG00000010072,SPRTN,-0.011300535,0.848751707,NS
ENSG00000010165,METTL13,-0.017958276,0.674228287,NS
ENSG00000010219,DYRK4,-0.055929789,0.230734217,NS
ENSG00000010244,ZNF207,0.018655861,0.645467966,NS
ENSG00000010256,UQCRC1,-0.091442227,0.003062421,NS
ENSG00000010270,STARD3NL,-0.003446377,0.953100205,NS
ENSG00000010278,CD9,-0.060372916,0.08577488,NS
ENSG00000010292,NCAPD2,-0.046097515,0.225544287,NS
ENSG00000010318,PHF7,0.025805417,0.609976198,NS
ENSG00000010319,SEMA3G,0.011832501,NA,NS
ENSG00000010322,NISCH,0.06578977,0.122674687,NS
ENSG00000010327,STAB1,0.012383804,NA,NS
ENSG00000010361,FUZ,-0.023876694,NA,NS
ENSG00000010404,IDS,0.066626373,0.099808019,NS
ENSG00000010539,ZNF200,0.028417593,0.576787111,NS
ENSG00000010610,CD4,0.00883463,NA,NS
ENSG00000010626,LRRC23,0.010439904,0.860034846,NS
ENSG00000010704,HFE,-0.006284085,NA,NS
ENSG00000010803,SCMH1,-0.042977578,0.283853884,NS
ENSG00000010810,FYN,0.00274999,NA,NS
ENSG00000010818,HIVEP2,0.069300017,0.12718499,NS
ENSG00000011007,ELOA,0.03312974,0.423108902,NS
ENSG00000011009,LYPLA2,-0.046143029,0.299017911,NS
ENSG00000011021,CLCN6,0.087753554,0.061933443,NS
ENSG00000011052,NME1-NME2,-0.078345408,0.089793981,NS
ENSG00000011105,TSPAN9,-0.04837404,0.277506138,NS
ENSG00000011114,BTBD7,0.070989476,0.103871588,NS
ENSG00000011132,APBA3,0.003872263,0.952522331,NS
ENSG00000011143,MKS1,-0.020135311,0.708021172,NS
ENSG00000011198,ABHD5,0.030463945,0.509666623,NS
ENSG00000011243,AKAP8L,-0.038012172,0.382460117,NS
ENSG00000011258,MBTD1,0.039211824,0.419763906,NS
ENSG00000011260,UTP18,-0.002725144,0.963411206,NS
ENSG00000011275,RNF216,0.027983025,0.572917283,NS
ENSG00000011295,TTC19,0.025437382,0.551174084,NS
ENSG00000011304,PTBP1,-0.019815344,0.567800131,NS
ENSG00000011332,DPF1,-0.086932215,0.064111789,NS
ENSG00000011347,SYT7,0.172909149,1.88E-06,NS
ENSG00000011376,LARS2,0.05033329,0.188897403,NS
ENSG00000011405,PIK3C2A,0.17636237,0.000344124,NS
ENSG00000011422,PLAUR,-0.007590921,NA,NS
ENSG00000011426,ANLN,0.001599409,0.978536232,NS
ENSG00000011451,WIZ,-0.026235437,0.569473868,NS
ENSG00000011454,RABGAP1,0.030503443,0.51288936,NS
ENSG00000011478,QPCTL,0.001277668,0.98528031,NS
ENSG00000011485,PPP5C,-0.039647116,0.346881946,NS
ENSG00000011523,CEP68,0.032511417,0.511767019,NS
ENSG00000011566,MAP4K3,0.067686051,0.141063676,NS
ENSG00000011638,LDAF1,-0.021960794,0.685745384,NS
ENSG00000011677,GABRA3,0.024552537,NA,NS
ENSG00000012048,BRCA1,0.064314364,0.128233277,NS
ENSG00000012061,ERCC1,-0.029365892,0.540611399,NS
ENSG00000012171,SEMA3B,0.003718444,NA,NS
ENSG00000012174,MBTPS2,0.019349308,0.705305491,NS
ENSG00000012211,PRICKLE3,0.023436504,0.662076797,NS
ENSG00000012223,LTF,-0.007166165,NA,NS
ENSG00000012232,EXTL3,-0.01905844,0.700439919,NS
ENSG00000012660,ELOVL5,0.041382285,0.174962625,NS
ENSG00000012817,KDM5D,0.009959668,0.868733637,NS
ENSG00000012822,CALCOCO1,0.032687566,0.506625746,NS
ENSG00000012963,UBR7,-0.010896367,0.838838268,NS
ENSG00000012983,MAP4K5,0.021735763,0.685794627,NS
ENSG00000013016,EHD3,0.090354719,0.043125659,NS
ENSG00000013275,PSMC4,-0.058593527,0.095068773,NS
ENSG00000013288,MAN2B2,0.018947814,0.735027585,NS
ENSG00000013306,SLC25A39,-0.055527277,0.113113821,NS
ENSG00000013364,MVP,0.001467337,NA,NS
ENSG00000013374,NUB1,0.000465174,0.994792328,NS
ENSG00000013375,PGM3,0.028984007,0.538457578,NS
ENSG00000013392,RWDD2A,0.055151054,0.235758368,NS
ENSG00000013441,CLK1,0.124358645,0.011190821,NS
ENSG00000013503,POLR3B,0.006776113,0.91419086,NS
ENSG00000013523,ANGEL1,0.037402169,0.392790756,NS
ENSG00000013561,RNF14,0.06702829,0.081127143,NS
ENSG00000013563,DNASE1L1,0.008488737,0.886914697,NS
ENSG00000013573,DDX11,0.004334798,0.948675007,NS
ENSG00000013583,HEBP1,-0.019603222,0.700400287,NS
ENSG00000013619,MAMLD1,-0.007277992,NA,NS
ENSG00000013810,TACC3,-0.123196747,0.00010968,NS
ENSG00000014123,UFL1,0.011357896,0.840964088,NS
ENSG00000014138,POLA2,-0.039817197,0.372086299,NS
ENSG00000014164,ZC3H3,0.014959621,0.794286393,NS
ENSG00000014216,CAPN1,0.067334558,0.079659818,NS
ENSG00000014257,ACP3,0.477564997,1.27E-11,NS
