FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D32_4_B8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D32_4_B8,2min melodie,2m melodie,"7:B,8",ID_D32,0.2,D32,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D32,B8,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D33_4_B9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D33_4_B9,2min melodie,2m melodie,"7:B,9",ID_D33,0.2,D33,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D33,B9,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D34_4_B10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D34_4_B10,2min melodie,2m melodie,"7:B,10",ID_D34,0.2,D34,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D34,B10,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D35_4_B11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D35_4_B11,2min melodie,2m melodie,"7:B,11",ID_D35,0.2,D35,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D35,B11,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D36_4_B12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D36_4_B12,2min melodie,2m melodie,"7:B,12",ID_D36,0.2,D36,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D36,B12,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D37_4_B13,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D37_4_B13,2min melodie,2m melodie,"7:B,13",ID_D37,0.2,D37,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D37,B13,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D38_4_B14,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D38_4_B14,2min melodie,2m melodie,"7:B,14",ID_D38,0.2,D38,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D38,B14,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D39_4_B15,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D39_4_B15,2min melodie,2m melodie,"7:B,15",ID_D39,0.2,D39,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D39,B15,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D40_4_B16,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D40_4_B16,2min melodie,2m melodie,"7:B,16",ID_D40,0.2,D40,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D40,B16,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D41_4_B17,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D41_4_B17,2min melodie,2m melodie,"7:B,17",ID_D41,0.2,D41,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D41,B17,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D42_4_B18,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D42_4_B18,2min melodie,2m melodie,"7:B,18",ID_D42,0.2,D42,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D42,B18,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D43_4_B19,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D43_4_B19,2min melodie,2m melodie,"7:B,19",ID_D43,0.2,D43,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D43,B19,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D44_4_B20,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D44_4_B20,2min melodie,2m melodie,"7:B,20",ID_D44,0.2,D44,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D44,B20,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D45_4_B21,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D45_4_B21,2min melodie,2m melodie,"7:B,21",ID_D45,0.2,D45,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D45,B21,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D46_4_B22,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D46_4_B22,2min melodie,2m melodie,"7:B,22",ID_D46,0.2,D46,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D46,B22,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D47_4_B23,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D47_4_B23,2min melodie,2m melodie,"7:B,23",ID_D47,0.2,D47,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D47,B23,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D48_4_B24,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D48_4_B24,2min melodie,2m melodie,"7:B,24",ID_D48,0.2,D48,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D48,B24,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F25_4_C1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F25_4_C1,2min melodie,2m melodie,"7:C,1",ID_F25,0.2,F25,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F25,C1,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F26_4_C2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_F26_4_C2,2min melodie,2m melodie,"7:C,2",ID_F26,0.2,F26,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,F26,C2,4.0
