gene_id,entrezgene_id,external_gene_name,description,transcript_id(s),14340-YK-1,14340-YK-2,14340-YK-3,14340-YK-4,14340-YK-5,14340-YK-6,14340-YK-7,14340-YK-8,14340-YK-9
ENSG00000002726,26,AOC1,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80],"ENST00000360937,ENST00000416793,ENST00000460213,ENST00000467291,ENST00000480582,ENST00000483043,ENST00000493429",7,2,6,8,6,3,3,1,1
ENSG00000002745,51384,WNT16,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],"ENST00000222462,ENST00000361301",0,0,0,0,0,0,0,0,0
ENSG00000002746,23072,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","ENST00000395891,ENST00000429529,ENST00000453890,ENST00000461842,ENST00000464944,ENST00000471043,ENST00000471527,ENST00000481031,ENST00000490954,ENST00000492310,ENST00000493057",0,0,2,0,0,0,1,0,0
ENSG00000002822,8379,MAD1L1,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],"ENST00000265854,ENST00000399654,ENST00000402746,ENST00000406869,ENST00000421113,ENST00000429625,ENST00000429779,ENST00000437877,ENST00000438959,ENST00000444373,ENST00000445959,ENST00000450235,ENST00000455998,ENST00000459731,ENST00000464742,ENST00000468372,ENST00000469871,ENST00000477172,ENST00000481633,ENST00000483165,ENST00000486340,ENST00000491858,ENST00000496548",2315.26,2526.73,2461.73,2544.13,2636.77,2166.21,2383.28,2136.1,2349.05
ENSG00000002834,3927,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],"ENST00000318008,ENST00000419929,ENST00000433206,ENST00000443937,ENST00000579123,ENST00000581485,ENST00000584106,ENST00000585841",4171,4620,4701,5542,6044,5007,4869,4505,4709
ENSG00000002919,29916,SNX11,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],"ENST00000359238,ENST00000393405,ENST00000452859,ENST00000577310,ENST00000578861,ENST00000580219,ENST00000580875,ENST00000581298,ENST00000581705,ENST00000582104,ENST00000582481,ENST00000583320,ENST00000584335",1368,1466,1542,1592,1547,1422,1477,1349,1302
ENSG00000002933,55365,TMEM176A,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],"ENST00000004103,ENST00000461345,ENST00000462826,ENST00000468689,ENST00000474166,ENST00000475007,ENST00000475536,ENST00000475710,ENST00000481305,ENST00000484928,ENST00000494349",0,0,0,0,0,1,1,0,0
ENSG00000003056,4074,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","ENST00000000412,ENST00000536844,ENST00000537621,ENST00000539143,ENST00000540837,ENST00000541507,ENST00000543159,ENST00000543258,ENST00000543704,ENST00000543834,ENST00000543845,ENST00000544193,ENST00000544245",5665,6057,6256,6656,6631,5575,6256,5868,5763
ENSG00000003096,90293,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],"ENST00000262820,ENST00000371876,ENST00000371878,ENST00000371882,ENST00000453826,ENST00000469946,ENST00000540167,ENST00000541812",391,446,408,525,440,399,479,445,424
ENSG00000003137,56603,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],"ENST00000001146,ENST00000412253,ENST00000461519,ENST00000474509,ENST00000546307",10,8,10,18,8,3,13,12,10
