"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000004455",16506.0356419811,-0.00264241671277942,0.0231831129894592,0.892377964968347,0.96154877450354
"ENSG00000004478",37520.2125360457,0.0117045657644646,0.0247431572254608,0.566256366665681,0.807386921971294
"ENSG00000004487",8517.67177424857,0.0552156715382049,0.0305231866595666,0.018814829235037,0.121789514993974
"ENSG00000004534",3430.10533291121,-0.0403948309570361,0.0344255695130326,0.100663966323291,0.34176682369808
"ENSG00000004660",2082.63092510688,-0.0212000754603014,0.035248353842028,0.381445506284587,0.679041449809226
"ENSG00000004700",3637.15874117003,0.0203351876631499,0.0316467495590827,0.383169332709109,0.680445133146974
"ENSG00000004766",1162.12933024351,0.0131696898508192,0.0387681847837423,0.589753398732359,0.820697791608885
"ENSG00000004776",27.7598555523949,0.0191637987367128,0.0848137821792099,0.226176238637129,NA
"ENSG00000004777",755.789159470645,-0.00921524831717056,0.0427997905661005,0.705544810683744,0.880166647223361
"ENSG00000004779",9378.33750065787,-0.00449290872301265,0.0323699995922648,0.847267126699255,0.943238346490796
"ENSG00000004838",129.80950329368,0.0438516514139788,0.0799703021776168,0.0990708497822122,0.339083318844242
"ENSG00000004846",93.3981720292843,-0.0257442363948631,0.0706042448799031,0.257433349274866,NA
"ENSG00000004848",79.7486352604046,-0.0286460519847869,0.077213257894193,0.19215218142714,NA
"ENSG00000004864",4838.53475997336,0.0481733756126285,0.0333619555685871,0.048958181175097,0.224781857799945
"ENSG00000004866",11735.364706687,-0.163550120043224,0.029093525802274,6.09242403036964e-10,4.32498237656444e-08
"ENSG00000004897",8309.64126339551,0.0625230655158064,0.0351812155941166,0.0140849926713791,0.100513885030904
"ENSG00000004961",2869.90716604888,0.0194773004633189,0.0318256836460486,0.404341597077818,0.69942047912879
"ENSG00000004975",4674.95520692499,-0.132355579008215,0.0373352624982524,6.42327683479461e-06,0.000199858747093087
"ENSG00000005007",11124.8602502553,0.0114023210460203,0.0276569749879231,0.600994337300372,0.826923004015743
"ENSG00000005020",5063.57505654375,-0.0319232196619899,0.0300597621254868,0.164437669651911,0.444807123340584
"ENSG00000005022",45577.4008859326,0.0172517220606118,0.0260467247198609,0.413365040529258,0.707792711713653
"ENSG00000005059",130.237515106943,-0.00364760430399134,0.0601729536792503,0.864235841644704,0.950957146755656
"ENSG00000005073",13.1119558376105,-0.00175507654229465,0.0790133755079229,0.881894595616394,NA
"ENSG00000005075",4974.97247342512,0.000158905390013347,0.0334138924752867,0.994614631092448,0.998212978481999
"ENSG00000005100",4294.2649681384,0.0352458983857199,0.0324804790340312,0.139808276766883,0.408202761262504
"ENSG00000005108",347.692359695495,0.712636478589305,0.131205111825705,8.33587754568112e-10,5.83734312624034e-08
"ENSG00000005156",6191.88035519291,0.0461656990573845,0.0352192007849924,0.0650008335282479,0.267416247267485
"ENSG00000005175",3998.25418825924,-0.0208750500419267,0.0312850295124668,0.368568771459462,0.668617295256575
"ENSG00000005187",1917.82123969064,0.0235268906124665,0.0359513929102967,0.335588821665061,0.640800707874963
"ENSG00000005189",1030.07330628944,0.0809533754445841,0.0595233697644451,0.0149640385590299,0.104366779527411
"ENSG00000005194",4584.69985305264,0.0103961185528685,0.0285305864926509,0.638882217912727,0.848507844341739
"ENSG00000005206",2066.28701576254,-0.0509206480844397,0.0402858307886017,0.0556609921314607,0.243512687323242
"ENSG00000005238",1008.82849308302,-0.0354083007358487,0.0429216412321542,0.176067102789625,0.45955724756431
"ENSG00000005249",2693.3547845419,-0.0330867006651709,0.0343908370866208,0.174779886200511,0.458665853666472
"ENSG00000005302",1883.47713625882,0.0179423526150925,0.0343072249082977,0.453655640648285,0.735225323550656
"ENSG00000005339",5120.70931178132,0.0423188652818575,0.035522041918387,0.0903190145598711,0.320522356547835
"ENSG00000005379",39.4450406545271,-0.0166378824915497,0.0780580297606043,0.329254823471226,NA
"ENSG00000005436",3750.2413915273,0.0442620307612396,0.0337099345558852,0.0706806813345381,0.279322018577348
"ENSG00000005448",1040.35954982507,0.00793065656852831,0.0414000157351875,0.744609494817976,0.898243521901166
"ENSG00000005469",2947.64123001859,0.16377903639736,0.0475042466100437,1.0560233243886e-05,0.000303259329668173
"ENSG00000005483",4902.63892678886,0.0351132483351483,0.0373423163110306,0.163052055379614,0.443072559700363
