"gene_id","symbol","log2FoldChange","padj","Sig"
"ENSG00000006704","GTF2IRD1",-0.0328499662704711,0.48148303929944,"NS"
"ENSG00000006712","PAF1",0.0308930361832751,0.451100588152143,"NS"
"ENSG00000006715","VPS41",-0.105279516145816,0.00893551397725689,"NS"
"ENSG00000006740","ARHGAP44",-0.05699140121357,0.207811985134508,"NS"
"ENSG00000006744","ELAC2",-0.0264381639193689,0.48148303929944,"NS"
"ENSG00000006747","SCIN",-0.0204431888269019,0.681310591510807,"NS"
"ENSG00000006756","ARSD",-0.0294553765770222,0.509823191504078,"NS"
"ENSG00000006757","PNPLA4",-0.0574989017232712,0.202894616274873,"NS"
"ENSG00000006831","ADIPOR2",-0.0170017166288875,0.717937919536153,"NS"
"ENSG00000006837","CDKL3",0.00145521380824305,NA,"NS"
"ENSG00000007047","MARK4",-0.0380686588683422,0.439948206790113,"NS"
"ENSG00000007080","CCDC124",-0.0127523512388668,0.813159106850045,"NS"
"ENSG00000007168","PAFAH1B1",0.0287537310964177,0.431930862625751,"NS"
"ENSG00000007174","DNAH9",0.02657381191046,NA,"NS"
"ENSG00000007202","BLTP2",0.0568467212278964,0.117236326536363,"NS"
"ENSG00000007255","TRAPPC6A",-0.0321237224807237,0.522001806717277,"NS"
"ENSG00000007341","ST7L",0.0160941921118249,0.75950495906864,"NS"
"ENSG00000007350","TKTL1",0.001298147000124,NA,"NS"
"ENSG00000007376","RPUSD1",-0.0182765913202215,0.7315031375491,"NS"
"ENSG00000007384","RHBDF1",-0.027635842344789,0.587649629080432,"NS"
"ENSG00000007392","LUC7L",-0.0245869278272879,0.621009376101986,"NS"
"ENSG00000007402","CACNA2D2",-0.0435381147715844,0.376615216509652,"NS"
"ENSG00000007516","BAIAP3",-0.0722147921435016,0.176592311733995,"NS"
"ENSG00000007520","TSR3",-0.0067221683807437,0.911356761226289,"NS"
"ENSG00000007541","PIGQ",-0.0182884612530206,0.729621312556956,"NS"
"ENSG00000007545","CRAMP1",0.0209187970360083,0.688034948419082,"NS"
"ENSG00000007866","TEAD3",0.00473203716066112,0.94238596151569,"NS"
"ENSG00000007923","DNAJC11",0.00382012569598947,0.944670685639335,"NS"
"ENSG00000007944","MYLIP",0.0243669682574893,0.644644562580073,"NS"
"ENSG00000007952","NOX1",0.0118025319617383,NA,"NS"
"ENSG00000007968","E2F2",0.0355321099322213,0.446383289957302,"NS"
"ENSG00000008018","PSMB1",-0.0242536139905808,0.594127786446785,"NS"
"ENSG00000008083","JARID2",0.023015702635336,0.656042626891471,"NS"
"ENSG00000008086","CDKL5",-0.0081355057134098,0.894824090388296,"NS"
"ENSG00000008128","CDK11A",-0.00835283684056814,0.893787416755166,"NS"
